year,tech,sector_abbr,1,2,3,4,5,6
2014,solar,com,0.6,0.16,0.096,0.0576,0.0576,0.03
2015,solar,com,0.6,0.16,0.096,0.0576,0.0576,0.03
2016,solar,com,0.6,0.16,0.096,0.0576,0.0576,0.03
2017,solar,com,0.6,0.16,0.096,0.0576,0.0576,0.03
2018,solar,com,0.52,0.192,0.1152,0.06912,0.06912,0.03456
2019,solar,com,0.44,0.224,0.1344,0.08064,0.08064,0.04032
2020,solar,com,0.2,0.32,0.192,0.1152,0.1152,0.0576
2014,solar,ind,0.6,0.16,0.096,0.0576,0.0576,0.03
2015,solar,ind,0.6,0.16,0.096,0.0576,0.0576,0.03
2016,solar,ind,0.6,0.16,0.096,0.0576,0.0576,0.03
2017,solar,ind,0.6,0.16,0.096,0.0576,0.0576,0.03
2018,solar,ind,0.52,0.192,0.1152,0.06912,0.06912,0.03456
2019,solar,ind,0.44,0.224,0.1344,0.08064,0.08064,0.04032
2020,solar,ind,0.2,0.32,0.192,0.1152,0.1152,0.0576
2014,solar,res,0,0,0,0,0,0
2015,solar,res,0,0,0,0,0,0
2016,solar,res,0,0,0,0,0,0
2017,solar,res,0,0,0,0,0,0
2018,solar,res,0,0,0,0,0,0
2019,solar,res,0,0,0,0,0,0
2020,solar,res,0,0,0,0,0,0
2014,wind,com,0.6,0.16,0.096,0.0576,0.0576,0.0288
2015,wind,com,0.6,0.16,0.096,0.0576,0.0576,0.0288
2016,wind,com,0.6,0.16,0.096,0.0576,0.0576,0.0288
2017,wind,com,0.6,0.16,0.096,0.0576,0.0576,0.0288
2018,wind,com,0.6,0.16,0.096,0.0576,0.0576,0.0288
2019,wind,com,0.6,0.16,0.096,0.0576,0.0576,0.0288
2020,wind,com,0.56,0.176,0.1056,0.0634,0.0634,0.0317
2021,wind,com,0.56,0.176,0.1056,0.0634,0.0634,0.0317
2022,wind,com,0.32,0.272,0.1632,0.0979,0.0979,0.049
2023,wind,com,0.32,0.272,0.1632,0.0979,0.0979,0.049
2024,wind,com,0.2,0.32,0.192,0.1152,0.1152,0.0576
2014,wind,res,0.6,0.16,0.096,0.0576,0.0576,0.0288
2015,wind,res,0.6,0.16,0.096,0.0576,0.0576,0.0288
2016,wind,res,0.6,0.16,0.096,0.0576,0.0576,0.0288
2017,wind,res,0.6,0.16,0.096,0.0576,0.0576,0.0288
2018,wind,res,0.6,0.16,0.096,0.0576,0.0576,0.0288
2019,wind,res,0.6,0.16,0.096,0.0576,0.0576,0.0288
2020,wind,res,0.56,0.176,0.1056,0.0634,0.0634,0.0317
2021,wind,res,0.56,0.176,0.1056,0.0634,0.0634,0.0317
2022,wind,res,0.32,0.272,0.1632,0.0979,0.0979,0.049
2023,wind,res,0.32,0.272,0.1632,0.0979,0.0979,0.049
2024,wind,res,0.2,0.32,0.192,0.1152,0.1152,0.0576
2014,wind,ind,0.6,0.16,0.096,0.0576,0.0576,0.0288
2015,wind,ind,0.6,0.16,0.096,0.0576,0.0576,0.0288
2016,wind,ind,0.6,0.16,0.096,0.0576,0.0576,0.0288
2017,wind,ind,0.6,0.16,0.096,0.0576,0.0576,0.0288
2018,wind,ind,0.6,0.16,0.096,0.0576,0.0576,0.0288
2019,wind,ind,0.6,0.16,0.096,0.0576,0.0576,0.0288
2020,wind,ind,0.56,0.176,0.1056,0.0634,0.0634,0.0317
2021,wind,ind,0.56,0.176,0.1056,0.0634,0.0634,0.0317
2022,wind,ind,0.32,0.272,0.1632,0.0979,0.0979,0.049
2023,wind,ind,0.32,0.272,0.1632,0.0979,0.0979,0.049
2024,wind,ind,0.2,0.32,0.192,0.1152,0.1152,0.0576